;index;title;subtitle;description;image;keywords;syno_s;syno_m;syno_l;category;channel;language;release_date;duration_min;topic;image_l;image_xl;cleaned_syno_l;k_means
0;0;BBC Proms;2021: Last Night of the Proms, Part 2;Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09w0p59.jpg;BBC, iPlayer, TV, BBC Proms, 2021: Last Night of the Proms, Part 2;Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova.;Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova and the BBC Symphony Orchestra conducted by Sakari Oramo for the climax of the Proms season. ;Katie Derham hosts continued live coverage from the Royal Albert Hall, at the climax of the world’s greatest classical music festival.  Latvian accordionist Ksenija Sidorova and Australian tenor Stuart Skelton join Sakari Oramo and the BBC Symphony Orchestra and BBC Singers for a jubilant programme including music by Florence Price, Latin flavours from Piazzolla and Troilo, English folk courtesy of Percy Grainger and, of course, all the traditional favourites including Rule, Britannia, Land of Hope and Glory and Jerusalem. Katie is joined by special guests Gareth Malone and Maggie Aderin-Pocock.;Music;BBC RADIO THREE;False;2021;87;music;https://ichef.bbci.co.uk/images/ic/352x198/p09w0p59.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09w0p59.jpg;katie derham host continued live coverage royal albert hall climax world ’ greatest classical music festival latvian accordionist ksenija sidorova australian tenor stuart skelton join sakari oramo bbc symphony orchestra bbc singer jubilant programme including music florence price latin flavour piazzolla troilo english folk courtesy percy grainger course traditional favourite including rule britannia land hope glory jerusalem katie joined special guest gareth malone maggie aderinpocock;19
1;1;Port;Series 5: Episode 4;Previously unseen music from the series Port, with Julie Fowlis.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08hz0rh.jpg;BBC, iPlayer, TV, Port, Series 5: Episode 4;Previously unseen music from the series Port, with Julie Fowlis.;Julie Fowlis a’ lìbhrigeadh ceòl bhon t-sreath Port nach deach fhaicinn a-cheana. Previously unseen music from the series Port, with Julie Fowlis.;"Bidh Druthag Bheag Eile a’ tarraing ri chèile pìosan ciùil sònraichte a chaidh a chlàradh airson an t-sreath Port ach nach deach fhaicinn a-cheana. Anns a’ phrògram seo, ceòl a chaidh a chlàradh ann an Dùn Èideann, Corgaigh agus Luimneach ann an 2015 agus 2016. Bidh sàr luchd-ciùil ann an cuideachd Julie Fowlis agus Muireann Nic Amhlaoibh anns na trì ceàrnaidhean sin.

Anns an earrann seo, bidh Mairéad Ní Mhaonaigh, le taic bho Julie, Phil Cunningham agus Anna-Wendy Stevenson, a’cur dreach àlainn air An Cailín Deas Óg. Ann an Corgaigh, bidh Julie a’coinneachadh ri Nell Ní Chróinín agus le taic bho Jim Murray, gabhaidh iad òran às an àite fhèin, Na Cleaganna. Bidh an t-sreath air a’ toirt gu ceann le Pàdruig Morrison, Niamh Dunne agus Caoimhín Ó Fearghail ’s iadsan a’cur an dreach dùrachdach fhèin air a’ phort An Là an Dèidh an Stoirm.

Druthag Bheag Eile is a collection of three previously unseen musical gems from the award-winning series Port. This episode features music recorded Edinburgh, Cork and Limerick in 2015 and 2016. cast of renowned musicians joins presenters Julie Fowlis and Muireann Nic Amhlaoibh to play on three tracks.

Mairéad Ní Mhaonaigh joins Julie, Phil Cunningham and Anna-Wendy Stevenson for a beautiful version of An Cailín Deas Óg. Julie meets Nell Ní Chróinín in Cork and joins her for local song Na Cleaganna, with Jim Murray accompanying. Pàdruig Morrison, Niamh Dunne and Caoimhín Ó Fearghail bring the series to a close with a moving rendition of An Là an Dèidh an Stoirm.";Music;BBC ALBA;False;2020;17;music;https://ichef.bbci.co.uk/images/ic/352x198/p08hz0rh.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08hz0rh.jpg;bidh druthag bheag eile ’ tarraing ri chèile pìosan ciùil sònraichte chaidh chlàradh airson tsreath port ach nach deach fhaicinn acheana anns ’ phrògram seo ceòl chaidh chlàradh ann dùn èideann corgaigh agus luimneach ann 2015 agus 2016 bidh sàr luchdciùil ann cuideachd julie fowlis agus muireann nic amhlaoibh anns na trì ceàrnaidhean sin anns earrann seo bidh mairéad ní mhaonaigh le taic bho julie phil cunningham agus annawendy stevenson ’ cur dreach àlainn air cailín dea óg ann corgaigh bidh julie ’ coinneachadh ri nell ní chróinín agus le taic bho jim murray gabhaidh iad òran às àite fhèin na cleaganna bidh tsreath air ’ toirt gu ceann le pàdruig morrison niamh dunne agus caoimhín ó fearghail ’ iadsan ’ cur dreach dùrachdach fhèin air ’ phort là dèidh stoirm druthag bheag eile collection three previously unseen musical gem awardwinning series port episode feature music recorded edinburgh cork limerick 2015 2016 cast renowned musician join presenter julie fowlis muireann nic amhlaoibh play three track mairéad ní mhaonaigh join julie phil cunningham annawendy stevenson beautiful version cailín dea óg julie meet nell ní chróinín cork join local song na cleaganna jim murray accompanying pàdruig morrison niamh dunne caoimhín ó fearghail bring series close moving rendition là dèidh stoirm;6
2;2;Sit Down, Stand Up with Greg James;None;Tom Holland and Greg James cold call celebrity friends to play Sit Down, Stand Up.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bndclk.jpg;BBC, iPlayer, TV, Sit Down, Stand Up with Greg James;Tom Holland and Greg James cold call celebrity friends to play Sit Down, Stand Up.;Tom Holland and Greg James cold call celebrity friends to find out whether they are sitting down or standing up!;Tom Holland and Greg James cold call celebrity friends to find out whether they are sitting down or standing up!;Entertainment;BBC RADIO ONE;False;2022;10;music, entertainment;https://ichef.bbci.co.uk/images/ic/352x198/p0bndclk.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0bndclk.jpg;tom holland greg james cold call celebrity friend find whether sitting standing;7
3;3;Ceiliúradh na Féile Pádraig;None;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry.;https://ichef.bbci.co.uk/images/ic/{recipe}/p04wb17d.jpg;BBC, iPlayer, TV, Ceiliúradh na Féile Pádraig;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry.;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry. Among those performing are ALDOC, The John McSherry Band and Na Mooneys.;"John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry. Among those performing are ALDOC, Four Men and a Dog, The John McSherry Band and Na Mooneys.

Beidh ALDOC, Four Men and a Dog, The John McSherry Band agus Na Mooneys i measc na gceoltóirí a bheas ag seinm ag na Glassworks i nDoire Cholmcille don chlár Ceiliúradh na Féile Pádraig, á chur i láthair ag John Toal agus Pauline Scanlon.";Music;BBC TWO NORTHERN IRELAND DIGITAL;False;2017;59;music;https://ichef.bbci.co.uk/images/ic/352x198/p04wb17d.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p04wb17d.jpg;john toal pauline scanlon introduce evening music glasswork derry among performing aldoc four men dog john mcsherry band na mooneys beidh aldoc four men dog john mcsherry band agus na mooneys measc na gceoltóirí bheas ag seinm ag na glasswork ndoire cholmcille chlár ceiliúradh na féile pádraig á chur láthair ag john toal agus pauline scanlon;14
4;4;Songs of Praise;Edinburgh;Claire McCollum explores Edinburgh and shares stories of inspirational Scottish Christians;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bp73z1.jpg;BBC, iPlayer, TV, Songs of Praise, Edinburgh;Claire McCollum explores Edinburgh and shares stories of inspirational Scottish Christians;Claire McCollum goes on a Christian heritage tour of Edinburgh and discovers the faith of Scottish sporting hero Eric Liddell. With hymns and songs from across Scotland.;"Claire McCollum explores Edinburgh and discovers the rich Christian heritage of Scotland’s capital. On a history tour, Claire hears about individuals through the ages who, inspired by their faith, had an impact on Scotland and the world. She also visits Polwarth Parish Church on the banks of the Union Canal and takes a trip on the church’s brand-new canal boat!

Gemma Hunt is in neighbouring Glasgow to meet a Christian using music to break down barriers by setting up a record label to nurture the talent of ex-prisoners. And Claire hears about the faith of one of Scotland’s and Edinburgh’s most celebrated sporting heroes, Eric Liddell. His Olympic triumphs were immortalised in the Oscar-winning film Chariots of Fire, but Eric was initially a rugby star and gained his first Scotland cap exactly 100 years ago. On the rugby pitches of the University of Edinburgh, Eric’s niece tells the story of his life as a sportsman and as a missionary.

With songs and hymns from across Scotland, including Let All the World in Every Corner Sing, Be Thou My Vision and Amazing Grace.";Music;BBC ONE;False;2022;34;music, lifestyle;https://ichef.bbci.co.uk/images/ic/352x198/p0bp73z1.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0bp73z1.jpg;claire mccollum explores edinburgh discovers rich christian heritage scotland ’ capital history tour claire hears individual age inspired faith impact scotland world also visit polwarth parish church bank union canal take trip church ’ brandnew canal boat gemma hunt neighbouring glasgow meet christian using music break barrier setting record label nurture talent exprisoners claire hears faith one scotland ’ edinburgh ’ celebrated sporting hero eric liddell olympic triumph immortalised oscarwinning film chariot fire eric initially rugby star gained first scotland cap exactly 100 year ago rugby pitch university edinburgh eric ’ niece tell story life sportsman missionary song hymn across scotland including let world every corner sing thou vision amazing grace;3
5;5;Radio 1's Out Out! Live;Best Bits;Music’s biggest names celebrate the return of the night out with a special Wembley show.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09yn643.jpg;BBC, iPlayer, TV, Radio 1s Out Out! Live, Best Bits;Music’s biggest names celebrate the return of the night out with a special Wembley show.;BBC Radio 1 host a star-studded party from Wembley SSE Arena packed with live music from some of the biggest stars in pop to celebrate the return of the night out.;"BBC Radio 1 host a star-studded party from Wembley SSE Arena packed with live music to celebrate the return of the night out. Presented by Greg James, Jordan North and Vick Hope with guest appearances from DJ Target and Nadia Jae.

We have all the highlights from this unique event, including exclusive performances from the likes of Joel Corry, Sam Fender, Becky Hill, KSI, Sigrid, Griff, Dermot Kennedy, AJ Tracey and Biffy Clyro amongst others.";Music;BBC RADIO ONE;False;2021;57;music;https://ichef.bbci.co.uk/images/ic/352x198/p09yn643.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09yn643.jpg;bbc radio 1 host starstudded party wembley sse arena packed live music celebrate return night presented greg james jordan north vick hope guest appearance dj target nadia jae highlight unique event including exclusive performance like joel corry sam fender becky hill ksi sigrid griff dermot kennedy aj tracey biffy clyro amongst others;19
6;6;Big Night of Musicals by the National Lottery;None;Jason Manford hosts a celebration of musical theatre featuring big live performances.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bkv7b2.jpg;BBC, iPlayer, TV, Big Night of Musicals by the National Lottery;Jason Manford hosts a celebration of musical theatre featuring big live performances.;Hosted by Jason Manford, this celebration of musical theatre is packed full of showstoppers from the nation’s best loved shows, with special guests including Keala Settle.;"Join Jason Manford for a celebration of the very best of musical theatre. Recorded at the AO Arena in Manchester, Big Night of Musicals by the National Lottery is packed with sensational performances from the casts of the UK’s biggest West End and touring shows and some very special one-off collaborations. 

This one-night only event boasts musical theatre royalty including Beverley Knight MBE, The Greatest Showman star Keala Settle, and Olivier Award winner Sam Tutty. 

Joining them to perform some of some of the biggest songs in musical theatre are the casts of Dreamgirls, Back to the Future, Dear Evan Hansen, Tina - The Tina Turner Musical, Bat Out of Hell, Andrew Lloyd Webber’s School of Rock, & Juliet and Waitress. For the first time, Disney shows The Lion King, Beauty and the Beast and Frozen unite on stage for an exclusive medley. 

Also performing are the casts of new hit musicals The Drifters Girl and Get Up, Stand Up! The Bob Marley Musical. Plus, a performance from The Wiz. 

An all-singing all-dancing spectacular will also feature bespoke films shining a spotlight on the musical theatre industry.";Music;BBC ONE;False;2022;90;music;https://ichef.bbci.co.uk/images/ic/352x198/p0bkv7b2.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0bkv7b2.jpg;join jason manford celebration best musical theatre recorded ao arena manchester big night musical national lottery packed sensational performance cast uk ’ biggest west end touring show special oneoff collaboration onenight event boast musical theatre royalty including beverley knight mbe greatest showman star keala settle olivier award winner sam tutty joining perform biggest song musical theatre cast dreamgirls back future dear evan hansen tina tina turner musical bat hell andrew lloyd webber ’ school rock juliet waitress first time disney show lion king beauty beast frozen unite stage exclusive medley also performing cast new hit musical drifter girl get stand bob marley musical plus performance wiz allsinging alldancing spectacular also feature bespoke film shining spotlight musical theatre industry;19
7;7;Paul Weller Live at the Barbican;None;Paul Weller joins the BBC Symphony Orchestra and Jules Buckley for a one-off concert.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09lftnc.jpg;BBC, iPlayer, TV, Paul Weller Live at the Barbican;Paul Weller joins the BBC Symphony Orchestra and Jules Buckley for a one-off concert.;Paul Weller joins forces with the BBC Symphony Orchestra and multi-talented arranger and conductor Jules Buckley for a special one-off concert of his music.;"Paul Weller joins forces with the BBC Symphony Orchestra and multi-talented arranger and conductor Jules Buckley for a special one-off concert of his music.

It features songs drawn from Paul’s long career – with classics from his early days fronting The Jam through the 80s with The Style Council – and majoring on his four decades as a solo artist, including material from his most recent album.

Presented by Edith Bowman and filmed at London’s Barbican Centre, the concert also includes performances of some of Paul’s best-loved songs by three very special guests - Boy George, James Morrison and Celeste. With behind-the-scenes footage and specially shot interviews, this is Paul Weller’s music as never heard before.";Music;BBC TWO;False;2021;89;music;https://ichef.bbci.co.uk/images/ic/352x198/p09lftnc.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09lftnc.jpg;paul weller join force bbc symphony orchestra multitalented arranger conductor jules buckley special oneoff concert music feature song drawn paul ’ long career – classic early day fronting jam 80 style council – majoring four decade solo artist including material recent album presented edith bowman filmed london ’ barbican centre concert also includes performance paul ’ bestloved song three special guest boy george james morrison celeste behindthescenes footage specially shot interview paul weller ’ music never heard;19
8;8;Reclaiming Amy;None;The friends and family of Amy Winehouse reveal the truth about the British music icon.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09pt4rp.jpg;BBC, iPlayer, TV, Reclaiming Amy;The friends and family of Amy Winehouse reveal the truth about the British music icon.;Marking the ten-year anniversary of the death of Amy Winehouse, her closest family and friends, including mum Janis and dad Mitch, reveal the truth about the British music icon.;"To mark the ten-year anniversary of the death of Amy Winehouse, her closest family and friends, who were with her throughout her life, reveal the truth about the music icon and the impact that her loss has had on them. Amy’s mother Janis, who has never spoken in depth before, wants to reclaim the legacy of her daughter, celebrating Amy as the complex, strong and incredible woman she was and giving a different version of events from the story of the singer so often told.

With access to never-before-seen family archives and rare musical performances, this highly personal and powerful account of the life and death of one of Britain’s best-loved musicians offers a new interpretation of her life, her loves and her legacy.";Documentary;BBC TWO;Contains some strong language and upsetting scenes.;2021;58;music, signed, documentaries;https://ichef.bbci.co.uk/images/ic/352x198/p09pt4rp.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09pt4rp.jpg;mark tenyear anniversary death amy winehouse closest family friend throughout life reveal truth music icon impact loss amy ’ mother janis never spoken depth want reclaim legacy daughter celebrating amy complex strong incredible woman giving different version event story singer often told access neverbeforeseen family archive rare musical performance highly personal powerful account life death one britain ’ bestloved musician offer new interpretation life love legacy;16
9;9;Julian Bream Masterclass;5. Julian Bream Festival;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);https://ichef.bbci.co.uk/images/ic/{recipe}/p01lb5zk.jpg;BBC, iPlayer, TV, Julian Bream Masterclass, 5. Julian Bream Festival;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);First transmitted in 1978, Julian Bream performs works by Bach, Villa-Lobos, Albeniz and Britten at Old Wardour Castle.;First transmitted in 1978, Julian Bream performs works by Bach (Prelude, Fugue and Allegro), Villa-Lobos (Preludes Nos 3, 1 and 2) and Albeniz (‘Granada', 'Cadiz' and 'Sevilla' from Suite Espagnol) at Old Wardour Castle. Bream concludes the recital with Nocturnal after John Dowland. Based on ‘Come Heavy Sleep’ by John Dowland, it was written for Julian Bream by long-time collaborator Benjamin Britten in 1963.;Music;BBC WEBONLY;False;1978;50;music, arts, from-the-archives;https://ichef.bbci.co.uk/images/ic/352x198/p01lb5zk.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p01lb5zk.jpg;first transmitted 1978 julian bream performs work bach prelude fugue allegro villalobos prelude no 3 1 2 albeniz ‘ granada cadiz sevilla suite espagnol old wardour castle bream concludes recital nocturnal john dowland based ‘ come heavy sleep ’ john dowland written julian bream longtime collaborator benjamin britten 1963;2
10;10;Wayfaring Stranger with Phil Cunningham;Series 1: Episode 3;Phil Cunningham ends his journey at the Grand Ol' Opry and the Country Music Hall of Fame.;https://ichef.bbci.co.uk/images/ic/{recipe}/p04zmmzm.jpg;BBC, iPlayer, TV, Wayfaring Stranger with Phil Cunningham, Series 1: Episode 3;Phil Cunningham ends his journey at the Grand Ol' Opry and the Country Music Hall of Fame.;Phil Cunningham explores the musical connections between Scotland, Ulster and America. In the final programme his journey takes him to the Grand Ol' Opry.;Music and history combine as renowned Scottish performer Phil Cunningham explores age-old musical connections between Scotland, Ulster and America. Featuring a wealth of music, sacred and secular, in this final programme in the series are country and bluegrass legends Rosanne Cash and Ricky Skaggs, as Phil's journey takes him to the Grand Ol' Opry and the Country Music Hall of Fame in Nashville, Tennessee.;Music;BBC TWO NORTHERN IRELAND DIGITAL;False;2017;59;music;https://ichef.bbci.co.uk/images/ic/352x198/p04zmmzm.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p04zmmzm.jpg;music history combine renowned scottish performer phil cunningham explores ageold musical connection scotland ulster america featuring wealth music sacred secular final programme series country bluegrass legend rosanne cash ricky skaggs phils journey take grand ol opry country music hall fame nashville tennessee;19
11;11;Arctic Monkeys Live at the BBC;None;Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bdh0df.jpg;BBC, iPlayer, TV, Arctic Monkeys Live at the BBC;Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios.;Arctic Monkeys perform live for BBC Radio 1 at the Maida Vale studios, with tracks from their new album Tranquillity Base Hotel & Casino, and classics from their back catalogue.;Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios, with tracks from their new album Tranquillity Base Hotel & Casino, and classics from their back catalogue of hits.;Music;BBC TWO;False;2018;31;music;https://ichef.bbci.co.uk/images/ic/352x198/p0bdh0df.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0bdh0df.jpg;arctic monkey perform live bbc radio 1 legendary maida vale studio track new album tranquillity base hotel casino classic back catalogue hit;19
12;12;Team GB Homecoming Concert by the National Lottery;None;An incredible night of music and entertainment to welcome home the stars of Team GB. ;https://ichef.bbci.co.uk/images/ic/{recipe}/p09s59xl.jpg;BBC, iPlayer, TV, Team GB Homecoming Concert by the National Lottery;An incredible night of music and entertainment to welcome home the stars of Team GB. ;Greg James and Clara Amfo host an incredible night of music and entertainment to welcome home the stars of Team GB. Acts include Rag’n'Bone Man, Anne-Marie, Yungblud, Laura Mvula and Nile Rodgers.;Greg James and Clara Amfo host an incredible night of music and entertainment to welcome home the stars of Team GB. The epic show features a stellar line-up with the very best British artists, including Rag’n'Bone Man, Anne-Marie, Bastille, Yungblud, Laura Mvula and Brit Rising Star artist Griff. There is also a very special performance from Nile Rodgers and unique collaborations involving English National Ballet and Chickenshed theatre group. With a live audience at the SSE Arena, Wembley, special guests and an opportunity to see and hear from Team GB directly, this is set to be a night to remember for our brilliant Olympians.;Entertainment;BBC ONE;Contains flashing images.;2021;89;music, entertainment;https://ichef.bbci.co.uk/images/ic/352x198/p09s59xl.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09s59xl.jpg;greg james clara amfo host incredible night music entertainment welcome home star team gb epic show feature stellar lineup best british artist including rag ’ nbone man annemarie bastille yungblud laura mvula brit rising star artist griff also special performance nile rodgers unique collaboration involving english national ballet chickenshed theatre group live audience sse arena wembley special guest opportunity see hear team gb directly set night remember brilliant olympian;19
13;13;St George's Day at the BBC;None;BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09dwg0z.jpg;BBC, iPlayer, TV, St Georges Day at the BBC;BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day.;BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day, including performances by Elton John, Maddy Prior, Joe Strummer, The Spice Girls and Echo & The Bunnymen.;To mark St George’s Day, join BBC Four for a trip through the archives and a selection of songs celebrating English history, landmarks and places. This eclectic mix features a huge array of musical styles and tastes, ranging from Elton John to Maddy Prior and Joe Strummer, as well as one of English football’s oddest cheerleading combinations in The Spice Girls and Echo & The Bunnymen.;Music;BBC FOUR;False;2021;59;music;https://ichef.bbci.co.uk/images/ic/352x198/p09dwg0z.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09dwg0z.jpg;mark st george ’ day join bbc four trip archive selection song celebrating english history landmark place eclectic mix feature huge array musical style taste ranging elton john maddy prior joe strummer well one english football ’ oddest cheerleading combination spice girl echo bunnymen;19
14;14;BBC Arts NI presents;Sounds New Extra;Gemma Bradley hosts outstanding live performances from some remarkable homegrown talent.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09c4ftf.jpg;BBC, iPlayer, TV, BBC Arts NI presents, Sounds New Extra;Gemma Bradley hosts outstanding live performances from some remarkable homegrown talent.;Gemma Bradley hosts outstanding live performances from emerging homegrown talent. With Amy Montgomery, Joshua Burnside, JyellowL, Lilla Vargen, The Florentinas and Dark Tropics.;Gemma Bradley hosts outstanding live performances from emerging homegrown talent. With Amy Montgomery, Joshua Burnside, JyellowL, Lilla Vargen, The Florentinas and Dark Tropics.;Music;BBC TWO NORTHERN IRELAND DIGITAL;False;2021;28;music;https://ichef.bbci.co.uk/images/ic/352x198/p09c4ftf.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09c4ftf.jpg;gemma bradley host outstanding live performance emerging homegrown talent amy montgomery joshua burnside jyellowl lilla vargen florentinas dark tropic;3
