;Index;Title;Description;Category;Channel;Release Year;Duration in Minutes
0;0;BBC Proms;Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova.;Music;BBC RADIO THREE;2021;87
1;1;Port;Previously unseen music from the series Port, with Julie Fowlis.;Music;BBC ALBA;2020;17
2;2;Sit Down, Stand Up with Greg James;Tom Holland and Greg James cold call celebrity friends to play Sit Down, Stand Up.;Entertainment;BBC RADIO ONE;2022;10
3;3;Ceiliúradh na Féile Pádraig;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry.;Music;BBC TWO NORTHERN IRELAND DIGITAL;2017;59
4;4;Songs of Praise;Claire McCollum explores Edinburgh and shares stories of inspirational Scottish Christians;Music;BBC ONE;2022;34
5;5;Radio 1's Out Out! Live;Music’s biggest names celebrate the return of the night out with a special Wembley show.;Music;BBC RADIO ONE;2021;57
6;6;Big Night of Musicals by the National Lottery;Jason Manford hosts a celebration of musical theatre featuring big live performances.;Music;BBC ONE;2022;90
7;7;Paul Weller Live at the Barbican;Paul Weller joins the BBC Symphony Orchestra and Jules Buckley for a one-off concert.;Music;BBC TWO;2021;89
8;8;Reclaiming Amy;The friends and family of Amy Winehouse reveal the truth about the British music icon.;Documentary;BBC TWO;2021;58
9;9;Julian Bream Masterclass;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);Music;BBC WEBONLY;1978;50
10;10;Wayfaring Stranger with Phil Cunningham;Phil Cunningham ends his journey at the Grand Ol' Opry and the Country Music Hall of Fame.;Music;BBC TWO NORTHERN IRELAND DIGITAL;2017;59
11;11;Arctic Monkeys Live at the BBC;Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios.;Music;BBC TWO;2018;31
12;12;Team GB Homecoming Concert by the National Lottery;An incredible night of music and entertainment to welcome home the stars of Team GB. ;Entertainment;BBC ONE;2021;89
13;13;St George's Day at the BBC;BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day.;Music;BBC FOUR;2021;59
14;14;BBC Arts NI presents;Gemma Bradley hosts outstanding live performances from some remarkable homegrown talent.;Music;BBC TWO NORTHERN IRELAND DIGITAL;2021;28
15;15;Freddie Mercury: The Final Act;The story of Freddie Mercury’s final years and the tribute concert staged in his memory.;Music;BBC TWO;2021;90
16;16;Country Christmas;Country Christmas brings the joy and festivites of the holidays to you.;Music;BBC FOUR;2021;40
17;17;Radio 1's Piano Sessions;Jordan performs 'Big Bad Mood' and covers Better Days by NEIKED, Mae Muller & Polo G.;Music;BBC RADIO ONE;2022;8
18;18;Cuirm @ Celtic;Mischa MacPherson presents a second programme looking back at Celtic Connections 2022.;Music;BBC ALBA;2022;60
19;19;Idris Elba Meets Paul McCartney;In a world exclusive, Idris Elba interviews Paul McCartney about his life and career.;Music;BBC ONE;2020;54
