,index,title,description,category,channel,adv_category,img
0,0,BBC Proms,Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova.,Music,bbc_radio_three,11,https://ichef.bbci.co.uk/images/ic/352x198/p09w0p59.jpg
1,1,Port,"Previously unseen music from the series Port, with Julie Fowlis.",Music,bbc_alba,7,https://ichef.bbci.co.uk/images/ic/352x198/p08hz0rh.jpg
2,2,"Sit Down, Stand Up with Greg James","Tom Holland and Greg James cold call celebrity friends to play Sit Down, Stand Up.",Entertainment,bbc_radio_one,10,https://ichef.bbci.co.uk/images/ic/352x198/p0bndclk.jpg
3,3,Ceiliúradh na Féile Pádraig,John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry.,Music,bbc_two_northern_ireland_digital,7,https://ichef.bbci.co.uk/images/ic/352x198/p04wb17d.jpg
4,4,Songs of Praise,Claire McCollum explores Edinburgh and shares stories of inspirational Scottish Christians,Music,bbc_one,9,https://ichef.bbci.co.uk/images/ic/352x198/p0bp73z1.jpg
5,5,Radio 1's Out Out! Live,Music’s biggest names celebrate the return of the night out with a special Wembley show.,Music,bbc_radio_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p09yn643.jpg
6,6,Big Night of Musicals by the National Lottery,Jason Manford hosts a celebration of musical theatre featuring big live performances.,Music,bbc_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bkv76s.jpg
7,7,Paul Weller Live at the Barbican,Paul Weller joins the BBC Symphony Orchestra and Jules Buckley for a one-off concert.,Music,bbc_two,11,https://ichef.bbci.co.uk/images/ic/352x198/p09lfpyd.jpg
8,8,Reclaiming Amy,The friends and family of Amy Winehouse reveal the truth about the British music icon.,Documentary,bbc_two,4,https://ichef.bbci.co.uk/images/ic/352x198/p09pt4xm.jpg
9,9,Julian Bream Masterclass,A recital of guitar music by Julian Bream at Old Wardour Castle. (1978),Music,bbc_webonly,9,https://ichef.bbci.co.uk/images/ic/352x198/p01lb5zk.jpg
10,10,Wayfaring Stranger with Phil Cunningham,Phil Cunningham ends his journey at the Grand Ol' Opry and the Country Music Hall of Fame.,Music,bbc_two_northern_ireland_digital,11,https://ichef.bbci.co.uk/images/ic/352x198/p04zmmzm.jpg
11,11,Arctic Monkeys Live at the BBC,Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios.,Music,bbc_two,11,https://ichef.bbci.co.uk/images/ic/352x198/p069cqfz.jpg
12,12,Team GB Homecoming Concert by the National Lottery,An incredible night of music and entertainment to welcome home the stars of Team GB. ,Entertainment,bbc_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p09rtgch.jpg
13,13,St George's Day at the BBC,BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p09dnl2c.jpg
14,14,BBC Arts NI presents,Gemma Bradley hosts outstanding live performances from some remarkable homegrown talent.,Music,bbc_two_northern_ireland_digital,9,https://ichef.bbci.co.uk/images/ic/352x198/p09c4ftf.jpg
15,15,Freddie Mercury: The Final Act,The story of Freddie Mercury’s final years and the tribute concert staged in his memory.,Music,bbc_two,11,https://ichef.bbci.co.uk/images/ic/352x198/p0b4j38t.jpg
16,16,Country Christmas,Country Christmas brings the joy and festivites of the holidays to you.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bc5tzy.jpg
17,17,Radio 1's Piano Sessions,"Jordan performs 'Big Bad Mood' and covers Better Days by NEIKED, Mae Muller & Polo G.",Music,bbc_radio_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bpw4dn.jpg
18,18,Cuirm @ Celtic,Mischa MacPherson presents a second programme looking back at Celtic Connections 2022.,Music,bbc_alba,7,https://ichef.bbci.co.uk/images/ic/352x198/p0bm8c6d.jpg
19,19,Idris Elba Meets Paul McCartney,"In a world exclusive, Idris Elba interviews Paul McCartney about his life and career.",Music,bbc_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p091r93d.jpg
20,20,Country Music Awards,BBC Radio 2’s Bob Harris introduces highlights from the 55th annual Country Music Awards.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p0b3m07m.jpg
21,21,The Story Of...,"A look at Gloria Gaynor's disco hit and soundtrack to breakups everywhere, I Will Survive.",Documentary,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p07243d1.jpg
22,22,Idiot Prayer - Nick Cave Alone at Alexandra Palace,Nick Cave performs a special stripped-back set on the piano at London's Alexandra Palace.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p0b617w3.jpg
23,23,A Night of Wonder,"A 1995 studio concert featuring one of the enduring stars of popular music, Stevie Wonder.",Music,bbc_two,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bpfkkz.jpg
24,24,Peat & Diesel,Peat & Diesel aig na Barrowlands ann an Glaschu. Peat & Diesel at Barrowlands in Glasgow.,Music,bbc_alba,7,https://ichef.bbci.co.uk/images/ic/352x198/p086yytl.jpg
25,25,Barry White in Concert 1975,Barry White live in concert at the Royal Albert Hall in 1975.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bm6ssh.jpg
26,26,The World’s Most Extreme Festivals,Chris Stark makes an epic journey to beautiful Træna – the most remote festival on Earth.,Entertainment,bbc_radio_one,12,https://ichef.bbci.co.uk/images/ic/352x198/p05j18c2.jpg
27,27,Lionel Richie at the BBC,A selection of Lionel Richie's greatest moments from the BBC archives.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bmq8cj.jpg
28,28,Midnight Mass,A joyful service live from St Chad’s Cathedral in the heart of Birmingham.,Music,bbc_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p0b7ytmb.jpg
29,29,Soul America,"How, in the 70s and 80s, bedroom soul was born to soften soul's hard edges.",Documentary,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p08qsnd7.jpg
30,30,Teddy Pendergrass: If You Don't Know Me,"The life, music and towering achievements of soul singer Teddy Pendergrass",Documentary,bbc_two,13,https://ichef.bbci.co.uk/images/ic/352x198/p08tqd19.jpg
31,31,ALT,"Highlights from Alt. Music from The Skids, Makeness and chat from Clare Grogan.",Music,bbc_alba,7,https://ichef.bbci.co.uk/images/ic/352x198/p097by7k.jpg
32,32,Music Night at Brownlow,"Capturing the variety and scope of Ulster-Scots music. Filmed in Brownlow House, Lurgan.",Music,bbc_two_northern_ireland_digital,11,https://ichef.bbci.co.uk/images/ic/352x198/p04ps783.jpg
33,33,Canadian Hits at the BBC,A selection of performances by Canadian artists from the BBC archives.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p09mf48d.jpg
34,34,Christmas Morning,A feast of Christmas music from the choir and congregation of Coventry Cathedral.,Music,bbc_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bbdytd.jpg
35,35,Seirm,"Ceòl bho Celtic Connections.
Music from Celtic Connections.",Music,bbc_alba,7,https://ichef.bbci.co.uk/images/ic/352x198/p0bnf1xq.jpg
36,36,INXS: Live Baby Live,A fully restored classic INXS concert from 1991.,Music,bbc_two,11,https://ichef.bbci.co.uk/images/ic/352x198/p07y9rpx.jpg
37,37,On The Road with Independent Venue Week,A Journey to the Heart of Independent Venues and Their Communities with Philip Selway,Music,bbc_6music,9,https://ichef.bbci.co.uk/images/ic/352x198/p095948h.jpg
38,38,Perfect Pianists at the BBC,"With Benno Moiseiwitsch, Solomon, Myra Hess, Vladimir Horowitz, Arthur Rubinstein and more",Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p03l1t9p.jpg
39,39,Astaire and Rogers Sing George and Ira Gershwin,Songs written by brothers George and Ira Gershwin for Fred Astaire and Ginger Rogers.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p08zsyy3.jpg
40,40,The Rap Game UK,"Krept, Konan and Target set the final test for the artists.",Entertainment,bbc_three,11,https://ichef.bbci.co.uk/images/ic/352x198/p09smpc8.jpg
41,41,St Patrick's Day at the BBC,A collection of classic performances from the BBC archives to celebrate St Patrick’s Day.,Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p099c4y6.jpg
42,42,Ceilidh na Bliadhn' Uire 2021 - Seudan,"New Year music celebrations featuring Ewen Henderson, Gary Innes and Ingrid Henderson.",Entertainment,bbc_alba,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bnf896.jpg
43,43,In Concert,"Music concert from 1971 featuring James Taylor, with a guest appearance by Carole King.",Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bn2hvf.jpg
44,44,Phil Lynott: Songs for While I'm Away,The story of the life of Phil Lynott and how he became Ireland's greatest rock star.,Documentary,bbc_two_england,11,https://ichef.bbci.co.uk/images/ic/352x198/p0b69v5s.jpg
45,45,Eurovision Song Contest,James Newman flies the flag for the UK at the 65th Eurovision Song Contest in Rotterdam.,Entertainment,bbc_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p06604lj.jpg
46,46,Celebrity Recital,A concert given to an audience of friends by Benjamin Britten and Peter Pears. (1964),Music,bbc_webonly,11,https://ichef.bbci.co.uk/images/ic/352x198/p014pf2t.jpg
47,47,Celtic Connections Shorts,"Scottish-based outfit Dallahan with a bonding of traditional music and Americana. 
",Music,bbc_alba,11,https://ichef.bbci.co.uk/images/ic/352x198/p08d4w6y.jpg
48,48,Boulez at 80,Pierre Boulez conducts the BBC Symphony Orchestra in a concert from the Barbican. (2005),Music,bbc_webonly,11,https://ichef.bbci.co.uk/images/ic/352x198/p014ddgc.jpg
49,49,Philip Glass Concert: Live at the Barbican,The BBC Symphony Orchestra performs three works by American composer Philip Glass. (2001),Music,bbc_webonly,11,https://ichef.bbci.co.uk/images/ic/352x198/p014dd41.jpg
50,50,Top of the Pops,Clara Amfo and Jordan North introduce some of the rising stars set for the top in 2022.,Music,bbc_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bbp1tr.jpg
51,51,ABBA at the BBC,"With Waterloo, Dancing Queen, Does Your Mother Know, SOS, Fernando, Chiquitita and more.",Music,bbc_four,11,https://ichef.bbci.co.uk/images/ic/352x198/p0b2y3bb.jpg
52,52,Sound of 2022,A collection of new artists we think are going to be huge this year!,Music,bbc_radio_one,11,https://ichef.bbci.co.uk/images/ic/352x198/p0bk70pt.jpg
