;index;image;image_s;image_m;image_l
0;0;https://ichef.bbci.co.uk/images/ic/{recipe}/p09w0p59.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09w0p59.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09w0p59.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09w0p59.jpg
1;1;https://ichef.bbci.co.uk/images/ic/{recipe}/p08hz0rh.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p08hz0rh.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p08hz0rh.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p08hz0rh.jpg
2;2;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bndclk.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bndclk.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bndclk.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bndclk.jpg
3;3;https://ichef.bbci.co.uk/images/ic/{recipe}/p04wb17d.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p04wb17d.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p04wb17d.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p04wb17d.jpg
4;4;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bp73z1.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bp73z1.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bp73z1.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bp73z1.jpg
5;5;https://ichef.bbci.co.uk/images/ic/{recipe}/p09yn643.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09yn643.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09yn643.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09yn643.jpg
6;6;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bkv76s.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bkv76s.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bkv76s.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bkv76s.jpg
7;7;https://ichef.bbci.co.uk/images/ic/{recipe}/p09lfpyd.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09lfpyd.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09lfpyd.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09lfpyd.jpg
8;8;https://ichef.bbci.co.uk/images/ic/{recipe}/p09pt4xm.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09pt4xm.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09pt4xm.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09pt4xm.jpg
9;9;https://ichef.bbci.co.uk/images/ic/{recipe}/p01lb5zk.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p01lb5zk.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p01lb5zk.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p01lb5zk.jpg
10;10;https://ichef.bbci.co.uk/images/ic/{recipe}/p04zmmzm.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p04zmmzm.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p04zmmzm.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p04zmmzm.jpg
11;11;https://ichef.bbci.co.uk/images/ic/{recipe}/p069cqfz.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p069cqfz.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p069cqfz.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p069cqfz.jpg
12;12;https://ichef.bbci.co.uk/images/ic/{recipe}/p09rtgch.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09rtgch.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09rtgch.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09rtgch.jpg
13;13;https://ichef.bbci.co.uk/images/ic/{recipe}/p09dnl2c.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09dnl2c.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09dnl2c.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09dnl2c.jpg
14;14;https://ichef.bbci.co.uk/images/ic/{recipe}/p09c4ftf.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09c4ftf.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09c4ftf.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09c4ftf.jpg
15;15;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b4j38t.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0b4j38t.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0b4j38t.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0b4j38t.jpg
16;16;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bc5tzy.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bc5tzy.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bc5tzy.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bc5tzy.jpg
17;17;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bpw4dn.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bpw4dn.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bpw4dn.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bpw4dn.jpg
18;18;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bm8c6d.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bm8c6d.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bm8c6d.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bm8c6d.jpg
19;19;https://ichef.bbci.co.uk/images/ic/{recipe}/p091r93d.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p091r93d.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p091r93d.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p091r93d.jpg
20;20;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b3m07m.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0b3m07m.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0b3m07m.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0b3m07m.jpg
21;21;https://ichef.bbci.co.uk/images/ic/{recipe}/p07243d1.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p07243d1.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p07243d1.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p07243d1.jpg
22;22;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b617w3.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0b617w3.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0b617w3.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0b617w3.jpg
23;23;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bpfkkz.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bpfkkz.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bpfkkz.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bpfkkz.jpg
24;24;https://ichef.bbci.co.uk/images/ic/{recipe}/p086yytl.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p086yytl.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p086yytl.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p086yytl.jpg
25;25;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bm6ssh.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bm6ssh.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bm6ssh.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bm6ssh.jpg
26;26;https://ichef.bbci.co.uk/images/ic/{recipe}/p05j18c2.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p05j18c2.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p05j18c2.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p05j18c2.jpg
27;27;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bmq8cj.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bmq8cj.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bmq8cj.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bmq8cj.jpg
28;28;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b7ytmb.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0b7ytmb.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0b7ytmb.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0b7ytmb.jpg
29;29;https://ichef.bbci.co.uk/images/ic/{recipe}/p08qsnd7.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p08qsnd7.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p08qsnd7.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p08qsnd7.jpg
30;30;https://ichef.bbci.co.uk/images/ic/{recipe}/p08tqd19.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p08tqd19.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p08tqd19.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p08tqd19.jpg
31;31;https://ichef.bbci.co.uk/images/ic/{recipe}/p097by7k.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p097by7k.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p097by7k.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p097by7k.jpg
32;32;https://ichef.bbci.co.uk/images/ic/{recipe}/p04ps783.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p04ps783.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p04ps783.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p04ps783.jpg
33;33;https://ichef.bbci.co.uk/images/ic/{recipe}/p09mf48d.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p09mf48d.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p09mf48d.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p09mf48d.jpg
34;34;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bbdytd.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bbdytd.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bbdytd.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bbdytd.jpg
35;35;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bnf1xq.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p0bnf1xq.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p0bnf1xq.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p0bnf1xq.jpg
36;36;https://ichef.bbci.co.uk/images/ic/{recipe}/p07y9rpx.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p07y9rpx.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p07y9rpx.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p07y9rpx.jpg
37;37;https://ichef.bbci.co.uk/images/ic/{recipe}/p095948h.jpg;https://ichef.bbci.co.uk/images/ic/192x108/p095948h.jpg;https://ichef.bbci.co.uk/images/ic/288x162/p095948h.jpg;https://ichef.bbci.co.uk/images/ic/352x198/p095948h.jpg
