"Zeitstempel","Please rank the values in the context of a recommendation systems within a public service. [Rank 1]","Please rank the values in the context of a recommendation systems within a public service. [Rank 2]","Please rank the values in the context of a recommendation systems within a public service. [Rank 3]","Please rank the values in the context of a recommendation systems within a public service. [Rank 4]","Please rank the values in the context of a recommendation systems within a public service. [Rank 5]","Please rank the values in the context of a recommendation systems within a public service. [Rank 6]","If you have any complaints, wishes or suggestions here is an optional field for you to express yourself. :)"
"2022/03/06 11:32:41 AM MEZ","Convenience","Diversity","No Bias","Privacy","Autonomy","Transparency","Yo mama is so fat, all Netflix can recommend her is a BigMac advertisement "
"2022/03/06 11:35:44 AM MEZ","Privacy","Autonomy","Transparency","No Bias","Convenience","Diversity",""
"2022/03/06 11:36:40 AM MEZ","Autonomy","Diversity","No Bias","Convenience","Privacy","Transparency",""
"2022/03/06 11:39:10 AM MEZ","Privacy","Transparency","No Bias","Convenience","Autonomy","Transparency",""
"2022/03/06 11:42:40 AM MEZ","Diversity","Transparency","Privacy","Autonomy","No Bias","Convenience",""
"2022/03/06 12:02:21 PM MEZ","Privacy","Autonomy","Transparency","Diversity","No Bias","Convenience",""
"2022/03/06 12:29:16 PM MEZ","Convenience","Autonomy","No Bias","Transparency","Diversity","Privacy",""
"2022/03/06 12:29:44 PM MEZ","Convenience","Diversity","Transparency","No Bias","Privacy","Autonomy",""
"2022/03/06 1:14:16 PM MEZ","Privacy","Autonomy","Transparency","Diversity","No Bias","Convenience",""
"2022/03/06 1:14:31 PM MEZ","Privacy","Transparency","No Bias","Diversity","Autonomy","Convenience",""
"2022/03/06 1:20:54 PM MEZ","Privacy","Convenience","Diversity","No Bias","Autonomy","Transparency",""
"2022/03/06 1:40:47 PM MEZ","Convenience","Autonomy","No Bias","Diversity","Privacy","Transparency",""
"2022/03/06 3:34:26 PM MEZ","Privacy","Transparency","No Bias","Diversity","Autonomy","Convenience",""
"2022/03/06 6:21:39 PM MEZ","Transparency","Privacy","No Bias","Diversity","Convenience","Autonomy",""
