id;title;description;image;keywords;synops_small;synops_med;synops_long;category;channel;language;release_date;duration_sec;topic;Start;End;Integers Missing
0;BBC Proms;Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09w0p59.jpg;BBC, iPlayer, TV, BBC Proms, 2021: Last Night of the Proms, Part 2;Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova.;Australian tenor Stuart Skelton is joined by Latvian accordionist Ksenija Sidorova and the BBC Symphony Orchestra conducted by Sakari Oramo for the climax of the Proms season.;Katie Derham hosts continued live coverage from the Royal Albert Hall, at the climax of the world’s greatest classical music festival.  Latvian accordionist Ksenija Sidorova and Australian tenor Stuart Skelton join Sakari Oramo and the BBC Symphony Orchestra and BBC Singers for a jubilant programme including music by Florence Price, Latin flavours from Piazzolla and Troilo, English folk courtesy of Percy Grainger and, of course, all the traditional favourites including Rule, Britannia, Land of Hope and Glory and Jerusalem. Katie is joined by special guests Gareth Malone and Maggie Aderin-Pocock.;Music;bbc_radio_three;FALSE;09/11/2021;5247;music;0.0;1.0;0.0
1;Port;Previously unseen music from the series Port, with Julie Fowlis.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08hz0rh.jpg;BBC, iPlayer, TV, Port, Series 5: Episode 4;Previously unseen music from the series Port, with Julie Fowlis.;Julie Fowlis a’ lìbhrigeadh ceòl bhon t-sreath Port nach deach fhaicinn a-cheana. Previously unseen music from the series Port, with Julie Fowlis.;Bidh Druthag Bheag Eile a’ tarraing ri chèile pìosan ciùil sònraichte a chaidh a chlàradh airson an t-sreath Port ach nach deach fhaicinn a-cheana. Anns a’ phrògram seo, ceòl a chaidh a chlàradh ann an Dùn Èideann, Corgaigh agus Luimneach ann an 2015 agus 2016. Bidh sàr luchd-ciùil ann an cuideachd Julie Fowlis agus Muireann Nic Amhlaoibh anns na trì ceàrnaidhean sin.  Anns an earrann seo, bidh Mairéad Ní Mhaonaigh, le taic bho Julie, Phil Cunningham agus Anna-Wendy Stevenson, a’cur dreach àlainn air An Cailín Deas Óg. Ann an Corgaigh, bidh Julie a’coinneachadh ri Nell Ní Chróinín agus le taic bho Jim Murray, gabhaidh iad òran às an àite fhèin, Na Cleaganna. Bidh an t-sreath air a’ toirt gu ceann le Pàdruig Morrison, Niamh Dunne agus Caoimhín Ó Fearghail ’s iadsan a’cur an dreach dùrachdach fhèin air a’ phort An Là an Dèidh an Stoirm.  Druthag Bheag Eile is a collection of three previously unseen musical gems from the award-winning series Port. This episode features music recorded Edinburgh, Cork and Limerick in 2015 and 2016. cast of renowned musicians joins presenters Julie Fowlis and Muireann Nic Amhlaoibh to play on three tracks.  Mairéad Ní Mhaonaigh joins Julie, Phil Cunningham and Anna-Wendy Stevenson for a beautiful version of An Cailín Deas Óg. Julie meets Nell Ní Chróinín in Cork and joins her for local song Na Cleaganna, with Jim Murray accompanying. Pàdruig Morrison, Niamh Dunne and Caoimhín Ó Fearghail bring the series to a close with a moving rendition of An Là an Dèidh an Stoirm.;Music;bbc_alba;FALSE;07/09/2020;1037;music;1.0;2.0;0.0
2;Sit Down, Stand Up with Greg James;Tom Holland and Greg James cold call celebrity friends to play Sit Down, Stand Up.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bndclk.jpg;BBC, iPlayer, TV, Sit Down, Stand Up with Greg James;Tom Holland and Greg James cold call celebrity friends to play Sit Down, Stand Up.;Tom Holland and Greg James cold call celebrity friends to find out whether they are sitting down or standing up!;Tom Holland and Greg James cold call celebrity friends to find out whether they are sitting down or standing up!;Entertainment;bbc_radio_one;FALSE;02/10/2022;611;music;2.0;3.0;0.0
3;Ceiliúradh na Féile Pádraig;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry.;https://ichef.bbci.co.uk/images/ic/{recipe}/p04wb17d.jpg;BBC, iPlayer, TV, Ceiliúradh na Féile Pádraig;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry.;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry. Among those performing are ALDOC, The John McSherry Band and Na Mooneys.;John Toal and Pauline Scanlon introduce an evening of music from the Glassworks in Derry. Among those performing are ALDOC, Four Men and a Dog, The John McSherry Band and Na Mooneys.  Beidh ALDOC, Four Men and a Dog, The John McSherry Band agus Na Mooneys i measc na gceoltóirí a bheas ag seinm ag na Glassworks i nDoire Cholmcille don chlár Ceiliúradh na Féile Pádraig, á chur i láthair ag John Toal agus Pauline Scanlon.;Music;bbc_two_northern_ireland_digital;FALSE;03/17/2017;3538;music;3.0;4.0;0.0
4;Songs of Praise;Claire McCollum explores Edinburgh and shares stories of inspirational Scottish Christians;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bp73z1.jpg;BBC, iPlayer, TV, Songs of Praise, Edinburgh;Claire McCollum explores Edinburgh and shares stories of inspirational Scottish Christians;Claire McCollum goes on a Christian heritage tour of Edinburgh and discovers the faith of Scottish sporting hero Eric Liddell. With hymns and songs from across Scotland.;Claire McCollum explores Edinburgh and discovers the rich Christian heritage of Scotland’s capital. On a history tour, Claire hears about individuals through the ages who, inspired by their faith, had an impact on Scotland and the world. She also visits Polwarth Parish Church on the banks of the Union Canal and takes a trip on the church’s brand-new canal boat!  Gemma Hunt is in neighbouring Glasgow to meet a Christian using music to break down barriers by setting up a record label to nurture the talent of ex-prisoners. And Claire hears about the faith of one of Scotland’s and Edinburgh’s most celebrated sporting heroes, Eric Liddell. His Olympic triumphs were immortalised in the Oscar-winning film Chariots of Fire, but Eric was initially a rugby star and gained his first Scotland cap exactly 100 years ago. On the rugby pitches of the University of Edinburgh, Eric’s niece tells the story of his life as a sportsman and as a missionary.  With songs and hymns from across Scotland, including Let All the World in Every Corner Sing, Be Thou My Vision and Amazing Grace.;Music;bbc_one;FALSE;02/20/2022;2044;music;4.0;5.0;0.0
5;Radio 1's Out Out! Live;Music’s biggest names celebrate the return of the night out with a special Wembley show.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09yn643.jpg;BBC, iPlayer, TV, Radio 1s Out Out! Live, Best Bits;Music’s biggest names celebrate the return of the night out with a special Wembley show.;BBC Radio 1 host a star-studded party from Wembley SSE Arena packed with live music from some of the biggest stars in pop to celebrate the return of the night out.;BBC Radio 1 host a star-studded party from Wembley SSE Arena packed with live music to celebrate the return of the night out. Presented by Greg James, Jordan North and Vick Hope with guest appearances from DJ Target and Nadia Jae.  We have all the highlights from this unique event, including exclusive performances from the likes of Joel Corry, Sam Fender, Becky Hill, KSI, Sigrid, Griff, Dermot Kennedy, AJ Tracey and Biffy Clyro amongst others.;Music;bbc_radio_one;FALSE;10/17/2021;3423;music;5.0;6.0;0.0
6;Big Night of Musicals by the National Lottery;Jason Manford hosts a celebration of musical theatre featuring big live performances.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bkv76s.jpg;BBC, iPlayer, TV, Big Night of Musicals by the National Lottery;Jason Manford hosts a celebration of musical theatre featuring big live performances.;Hosted by Jason Manford, this celebration of musical theatre is packed full of showstoppers from the nation’s best loved shows, with special guests including Keala Settle.;Join Jason Manford for a celebration of the very best of musical theatre. Recorded at the AO Arena in Manchester, Big Night of Musicals by the National Lottery is packed with sensational performances from the casts of the UK’s biggest West End and touring shows and some very special one-off collaborations.   This one-night only event boasts musical theatre royalty including Beverley Knight MBE, The Greatest Showman star Keala Settle, and Olivier Award winner Sam Tutty.   Joining them to perform some of some of the biggest songs in musical theatre are the casts of Dreamgirls, Back to the Future, Dear Evan Hansen, Tina - The Tina Turner Musical, Bat Out of Hell, Andrew Lloyd Webber’s School of Rock, & Juliet and Waitress. For the first time, Disney shows The Lion King, Beauty and the Beast and Frozen unite on stage for an exclusive medley.   Also performing are the casts of new hit musicals The Drifters Girl and Get Up, Stand Up! The Bob Marley Musical. Plus, a performance from The Wiz.   An all-singing all-dancing spectacular will also feature bespoke films shining a spotlight on the musical theatre industry.;Music;bbc_one;FALSE;01/29/2022;5370;music;6.0;7.0;0.0
7;Paul Weller Live at the Barbican;Paul Weller joins the BBC Symphony Orchestra and Jules Buckley for a one-off concert.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09lfpyd.jpg;BBC, iPlayer, TV, Paul Weller Live at the Barbican;Paul Weller joins the BBC Symphony Orchestra and Jules Buckley for a one-off concert.;Paul Weller joins forces with the BBC Symphony Orchestra and multi-talented arranger and conductor Jules Buckley for a special one-off concert of his music.;Paul Weller joins forces with the BBC Symphony Orchestra and multi-talented arranger and conductor Jules Buckley for a special one-off concert of his music.  It features songs drawn from Paul’s long career – with classics from his early days fronting The Jam through the 80s with The Style Council – and majoring on his four decades as a solo artist, including material from his most recent album.  Presented by Edith Bowman and filmed at London’s Barbican Centre, the concert also includes performances of some of Paul’s best-loved songs by three very special guests - Boy George, James Morrison and Celeste. With behind-the-scenes footage and specially shot interviews, this is Paul Weller’s music as never heard before.;Music;bbc_two;FALSE;06/13/2021;5343;music;7.0;8.0;0.0
8;Reclaiming Amy;The friends and family of Amy Winehouse reveal the truth about the British music icon.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09pt4xm.jpg;BBC, iPlayer, TV, Reclaiming Amy;The friends and family of Amy Winehouse reveal the truth about the British music icon.;Marking the ten-year anniversary of the death of Amy Winehouse, her closest family and friends, including mum Janis and dad Mitch, reveal the truth about the British music icon.;To mark the ten-year anniversary of the death of Amy Winehouse, her closest family and friends, who were with her throughout her life, reveal the truth about the music icon and the impact that her loss has had on them. Amy’s mother Janis, who has never spoken in depth before, wants to reclaim the legacy of her daughter, celebrating Amy as the complex, strong and incredible woman she was and giving a different version of events from the story of the singer so often told.  With access to never-before-seen family archives and rare musical performances, this highly personal and powerful account of the life and death of one of Britain’s best-loved musicians offers a new interpretation of her life, her loves and her legacy.;Documentary;bbc_two;Contains some strong language and upsetting scenes.;07/23/2021;3464;music;8.0;9.0;0.0
9;Julian Bream Masterclass;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);https://ichef.bbci.co.uk/images/ic/{recipe}/p01lb5zk.jpg;BBC, iPlayer, TV, Julian Bream Masterclass, 5. Julian Bream Festival;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);First transmitted in 1978, Julian Bream performs works by Bach, Villa-Lobos, Albeniz and Britten at Old Wardour Castle.;First transmitted in 1978, Julian Bream performs works by Bach (Prelude, Fugue and Allegro), Villa-Lobos (Preludes Nos 3, 1 and 2) and Albeniz (‘Granada', 'Cadiz' and 'Sevilla' from Suite Espagnol) at Old Wardour Castle. Bream concludes the recital with Nocturnal after John Dowland. Based on ‘Come Heavy Sleep’ by John Dowland, it was written for Julian Bream by long-time collaborator Benjamin Britten in 1963.;Music;bbc_webonly;FALSE;02/01/1978;2993;music;9.0;10.0;0.0
